Income,Age,Dependents,Occupation,City_Tier,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Desired_Savings_Percentage,Desired_Savings,Disposable_Income,Potential_Savings_Groceries,Potential_Savings_Transport,Potential_Savings_Eating_Out,Potential_Savings_Entertainment,Potential_Savings_Utilities,Potential_Savings_Healthcare,Potential_Savings_Education,Potential_Savings_Miscellaneous,Income_Tier,Total_Expenses,Overspending_Flag,Savings_Efficiency,Essential_Expenses,Non_Essential_Expenses,Rent_to_Income_Ratio,Groceries_to_Income_Ratio,Total_Expenses_to_Income_Ratio,Discretionary_to_Income_Ratio,Savings_Target_Efficiency,Expense_Diversity_Index,User_ID
27348.96692477707,35,0,Self_Employed,Tier_3,4102.34503871656,0.0,712.5386442612266,2794.2074913645965,1792.0214359404663,1316.5574043394486,836.46147877706,1834.6283825287248,1129.6301022319951,0.0,682.78117062473,5.602286677954669,1532.1675305850144,12147.79577599226,250.68760799338165,268.03262415341965,233.2684386970216,143.61629031739275,161.10596874690825,4.601140772684547,0.0,44.29105505148843,Medium,14488.632504523584,0,0.4441775007225901,9860.811014841876,2835.8000537412386,0.15,0.1021686668842016,0.5297689139181876,0.1036894761524654,7.099225898672184,0.0898126439196465,43
66955.19738552207,49,3,Retired,Tier_2,13391.039477104416,12898.36642554413,2445.7184003553057,9963.131503890929,4248.921973122322,2279.5578054936746,2558.958261445905,4079.7438199660814,2548.7712683677,5497.393229100962,1952.400347237216,13.718087567174768,5091.194873893423,5091.194873893423,731.2631996038526,1094.8598338879503,533.0806990878154,421.0799713118173,980.3212900479278,115.35543135593988,66.68838801814172,455.9367143880947,Very High,59418.284111273344,1,0.0760388300340416,42881.052494873264,6790.916414176795,0.2,0.1488029591866349,0.887433484351456,0.1014247837262774,1.0,0.0832568100417849,68
4529.542004254965,55,2,Self_Employed,Tier_1,1106.7507763126966,495.411170695372,162.12793674778038,557.7129804030664,285.36523705670083,150.5161270311319,170.2448759108655,253.29121597991144,174.1519550692732,186.8338918139588,83.45057978981144,8.279952128696484,210.53203502582363,326.60242149912153,85.63538561882247,64.095868475332,20.410002592282208,15.938140332048716,61.76353935093352,4.955065098656026,5.752308863675894,23.775941290809897,Low,3380.2515275905525,1,0.0397893888612503,2564.111691401714,404.2115827318089,0.3,0.1473083329126704,0.9162636069302862,0.1095671016591014,1.0,0.1199876204811653,75
57900.11583389391,45,1,Retired,Tier_1,17370.03475016817,11444.465837232816,2096.455401870349,7942.672949395404,3662.132761079528,2816.307979304048,2288.619857626248,4065.1454504961575,2260.957432180762,3600.3654674669274,1202.610917611008,13.441560642413542,210.53203502582363,326.60242149912153,1571.8193748036397,906.4790385832456,834.6551610078544,636.215182899075,1172.4613686714554,94.77331418695948,78.91077210574335,181.27745704957167,Very High,56653.31340256107,1,0.0171836018523974,43083.27641947332,6307.538754541303,0.3,0.1371788784012393,0.9483400404882943,0.1089382752296491,2.773496657861335,0.111321206759279,76
135659.2331314692,31,3,Student,Tier_1,26487.97395915878,17920.39263522058,4025.7877123601866,15081.74678403583,7828.536847940822,2747.097597380895,3480.5910655124285,7084.410398896198,4802.384082282865,8475.792720816256,2426.3167136013326,16.83655330800644,19147.2491221464,19147.2491221464,3719.426808791396,1209.5582693865135,417.4833104507852,1016.5685354716236,809.0715224197813,9.044533615466882,214.61456349022805,216.9065741772173,Very High,112486.1962969626,0,0.1411422479706231,86433.92961724181,9698.706430375216,0.3,0.1151504352743364,0.8291820151154082,0.071493153886371,1.0,0.1398675755768038,107
195095.3179447248,33,4,Self_Employed,Tier_1,26487.97395915878,0.0,6831.173131795504,15081.74678403583,7828.536847940822,4257.167684228571,4202.52923290286,7273.31464904924,4802.384082282865,8710.726803515536,2426.3167136013326,23.61930523240593,37033.397153605045,39994.93512677081,4940.899924303675,752.641204693425,1233.847554781933,828.6755783708808,2391.224096440468,24.67491807112058,345.0503605140326,810.6299047073529,Very High,139279.8139119798,0,0.1858085851278416,98046.03748447297,17741.02479093103,0.3,0.149160885136196,0.7824551310062384,0.0956168742637506,1.0,0.143715138130258,114
173046.7661114086,23,0,Retired,Tier_2,26487.97395915878,0.0,3743.999840813316,15081.74678403583,7828.536847940822,4257.167684228571,4202.52923290286,7273.31464904924,4802.384082282865,0.0,2426.3167136013326,23.358479162684723,37033.397153605045,54999.57302485134,4940.899924303675,1075.2392213409698,761.1416252658329,1108.2959380819857,2391.224096440468,180.60199942150945,0.0,810.6299047073529,Very High,104946.0885347085,0,0.371903383010657,77241.68063680743,17741.02479093103,0.2,0.1301511065306204,0.6064608480874097,0.1055604386422807,1.592155809547628,0.1167284865635452,126
8676.92008517976,39,1,Self_Employed,Tier_1,2603.076025553928,1185.4114899378349,351.5092390036153,1295.196948718531,573.597793724475,361.4325646553695,320.52769870367456,680.4150636753496,406.545318116146,829.8837834003338,96.1832533930993,7.261811821880284,210.53203502582363,326.60242149912153,165.2125878047068,161.94247648956602,18.925963203915995,41.97609356686968,186.35753568306737,19.506053825708435,14.287391968230224,13.61750600227731,Low,8352.26993987874,1,0.0171836018523974,6170.644846001789,778.1435167521435,0.3,0.1492692033583133,0.9483400404882943,0.0896796915395381,2.773496657861335,0.1152055693833887,131
136815.28997765883,37,1,Retired,Tier_3,20522.293496648825,0.0,6277.032974625688,15081.74678403583,7828.536847940822,4257.167684228571,4110.414146845438,6937.6884297260585,4469.731812519857,8710.726803515536,2426.3167136013326,19.42944538943157,26582.452050601667,48224.04386426105,1113.9523865933113,2525.285272450442,852.8295890658889,331.1862949665759,1319.3334732625865,6.303153446612408,137.63886451339016,299.47552364738067,Very High,82314.21313877207,0,0.352475544744566,47257.92237368266,15006.595193956597,0.15,0.1120357866236364,0.6016448392004543,0.1096850739154014,1.814130757104838,0.0805238022588698,168
14725.575882805526,60,0,Retired,Tier_3,2208.8363824208286,0.0,695.6414244637527,1530.223710550726,1067.1049203646176,422.5314506163488,383.2844400716138,1140.3126974507134,475.8182616887228,0.0,172.46848484368078,9.708016077295294,1429.561274177079,6629.3541103345215,345.3914508820111,228.86509711453192,44.68185883536272,88.19393736527297,88.88383433989075,21.713347858529296,0.0,23.665344606670818,Low,7400.580348007252,0,0.4448917032452535,5355.19105211099,978.2843755316434,0.15,0.1039160520939291,0.5214647486125774,0.0664343712814619,4.637334705468068,0.1043575636672809,171
