Income,Total_Expenses,Rent_to_Income_Ratio,Groceries_to_Income_Ratio,Total_Expenses_to_Income_Ratio,Savings_Efficiency,Discretionary_to_Income_Ratio,Savings_Target_Efficiency,Anomaly_Flag
27348.96692477707,14488.632504523584,0.15,0.1021686668842016,0.5297689139181876,0.4441775007225901,0.1036894761524654,7.099225898672184,-1
66955.19738552207,59418.284111273344,0.2,0.1488029591866349,0.887433484351456,0.0760388300340416,0.1014247837262774,1.0,-1
4529.542004254965,3380.2515275905525,0.3,0.1473083329126704,0.9162636069302862,0.0397893888612503,0.1095671016591014,1.0,-1
57900.11583389391,56653.31340256107,0.3,0.1371788784012393,0.9483400404882943,0.0171836018523974,0.1089382752296491,2.773496657861335,-1
135659.2331314692,112486.1962969626,0.3,0.1151504352743364,0.8291820151154082,0.1411422479706231,0.071493153886371,1.0,-1
195095.3179447248,139279.8139119798,0.3,0.149160885136196,0.7824551310062384,0.1858085851278416,0.0956168742637506,1.0,-1
173046.7661114086,104946.0885347085,0.2,0.1301511065306204,0.6064608480874097,0.371903383010657,0.1055604386422807,1.592155809547628,-1
8676.92008517976,8352.26993987874,0.3,0.1492692033583133,0.9483400404882943,0.0171836018523974,0.0896796915395381,2.773496657861335,-1
136815.28997765883,82314.21313877207,0.15,0.1120357866236364,0.6016448392004543,0.352475544744566,0.1096850739154014,1.814130757104838,-1
14725.575882805526,7400.580348007252,0.15,0.1039160520939291,0.5214647486125774,0.4448917032452535,0.0664343712814619,4.637334705468068,-1
195095.3179447248,139279.8139119798,0.3,0.1184670478875829,0.750613467381977,0.2023854309338258,0.084565088030814,1.0,-1
59520.23966348219,31119.81428390226,0.15,0.119186645420952,0.5228442368486528,0.4448917032452535,0.1113044049347465,4.15977258508154,-1
69702.69782720495,60755.841738251765,0.3,0.1361386771932993,0.871642614018575,0.0800864472456837,0.060206872769196,1.0,-1
195095.3179447248,139279.8139119798,0.2616720081745254,0.1423903587570722,0.9483400404882943,0.2756323377320689,0.120004455708988,1.0,-1
50517.0237132164,48022.92602257806,0.3,0.1137888127988648,0.9483400404882943,0.0171836018523974,0.1172516819016101,1.0,-1
23312.32022741816,12106.219482289443,0.15,0.1444152177104371,0.5214647486125774,0.4448917032452535,0.0748145048537655,7.099225898672184,-1
191124.34458604932,125800.49840141194,0.2,0.1439003322065348,0.6582128439675206,0.3062510114543463,0.0820424292198631,1.3040963542210948,-1
166726.15117408367,93260.2628912774,0.2,0.1446076882122788,0.5593619371318758,0.4110807809749107,0.0729723641939425,1.6714164500828517,-1
163845.2425413498,96989.85193111889,0.2,0.1278397717053352,0.5919601352272492,0.3600752567095163,0.0924147979626493,1.6422346748145449,-1
106698.89846377289,57754.30008278702,0.15,0.141395299910896,0.5412830021145546,0.4374262725599772,0.0855185522003101,2.4503087658786527,-1
